name,contact_name,city,address,tipo_locale,phone,email,vat_number,notes,latitude,longitude
Bar Roma,Marco Rossi,Roma,Via del Corso 45,Bar,+39 06 1234567,info@barroma.it,IT12345678901,Cliente abituale con ordini settimanali,41.902782,12.496366
Ristorante Da Gino,Gino Bianchi,Milano,Corso Buenos Aires 23,Ristorante,+39 02 9876543,gino@dagino.com,IT98765432109,Alto volume - chiamare il lunedì,45.478580,9.218890
Pizzeria Napoli,Antonio Esposito,Napoli,Via Toledo 156,Pizzeria,+39 081 5551234,info@pizzerianapoli.it,IT11223344556,Preferisce consegna mattino,40.848060,14.252540
Bar Sport,Lucia Verdi,Torino,Corso Vittorio 89,Bar,+39 011 3332211,barsport@email.it,IT66778899001,Ordini urgenti - risponde sempre,45.070310,7.686860
Trattoria La Nonna,Carla Ferretti,Firenze,Via dei Calzaiuoli 12,Trattoria,+39 055 4445566,info@lanonna.com,IT33445566778,Menu fisso pranzo - grande potenziale,43.769560,11.255810
Hotel Belvedere,Francesco Conti,Venezia,Riva degli Schiavoni 4,Hotel,+39 041 7778899,reception@belvedere.it,IT44556677889,Solo forniture premium,45.433640,12.342530
Pub The Corner,Paolo Mancini,Bologna,Via Indipendenza 34,Pub,+39 051 2223344,thecorner@pub.it,IT55667788990,Birre artigianali - interesse alto,44.498950,11.327590
Pasticceria Dolce Vita,Maria Giusti,Verona,Piazza Erbe 8,Pasticceria,+39 045 6667788,dolcevita@email.it,IT77889900112,Ordini per eventi - preavviso 3gg,45.438380,10.993660
Gelateria Arcobaleno,Stefano Ricci,Genova,Via XX Settembre 67,Gelateria,+39 010 8889900,arcobaleno@gel.it,IT88990011223,Stagionale estate - ricontattare maggio,44.407100,8.946260
Chiosco Lido,Andrea Moretti,Rimini,Lungomare Tintori 12,Chiosco,+39 0541 1112233,lido@chiosco.it,IT99001122334,Attivo solo giugno-settembre,44.059450,12.568330
Ristorante Bella Vista,Elena Colombo,Bergamo,Via San Bernardino 5,Ristorante,+39 035 4445566,bellavista@rist.it,IT10111213141,Cucina gourmet - prodotti selezionati,45.698260,9.677060
Bar Centrale,Giovanni Fontana,Padova,Piazza dei Signori 3,Bar,+39 049 5556677,centrale@bar.it,IT21222324252,Centro storico - parcheggio difficile,45.407720,11.876260
Pizzeria Il Forno,Roberto Greco,Brescia,Corso Zanardelli 78,Pizzeria,+39 030 6667788,ilforno@pizza.it,IT32333435363,Forno a legna - interesse bio,45.539540,10.213170
Trattoria Vecchia Romagna,Laura Santini,Ravenna,Via Cavour 45,Trattoria,+39 0544 7778899,vecchiaromagna@email.it,IT43444546474,Specialità romagnole - menu degustazione,44.418440,12.203490
Hotel Garden,Massimo Pellegrini,Perugia,Via Oberdan 22,Hotel,+39 075 8889900,garden@hotel.it,IT54555657585,Ristorante interno 80 coperti,43.110450,12.389250
